"","X","id","session","startTime","endTime","extinct","player"
"1",1,1,"33b5f367ba784a713f889d93b26bdabd","2021-04-29 18:11:27","2021-04-29 18:11:47",0,"player69"
"2",2,2,"33b5f367ba784a713f889d93b26bdabd","2021-04-29 18:12:00","2021-04-29 18:12:30",1,"player40"
"3",3,3,"039193d3173fbb23e2d2b8bc505818cf","2021-04-30 08:03:05","2021-04-30 08:04:18",1,"player69"
"4",4,4,"4093a41b27c1a492b0771975834e4c15","2021-04-30 08:39:40",NA,0,"player69"
"5",5,5,"142ebb2e58a7daa3c295e3ca6a23a551","2021-04-30 08:43:31","2021-04-30 08:43:37",1,"player40"
"6",6,6,"bd8f128c59816e9c7f3423b090ea463a","2021-04-30 08:44:34","2021-04-30 08:44:37",1,"player40"
"7",7,7,"9d141f85ebd51242b9ec6e6de528eafc","2021-04-30 08:49:00","2021-04-30 08:49:13",1,"player69"
"8",8,8,"d477534b567d46ab7edcde3f380a25ef","2021-04-30 10:00:02","2021-04-30 10:00:10",1,"player40"
"9",9,9,"d477534b567d46ab7edcde3f380a25ef","2021-04-30 10:00:24",NA,0,"player38"
"10",10,10,"d477534b567d46ab7edcde3f380a25ef","2021-04-30 10:00:38",NA,0,"player39"
"11",11,11,"1f7077d0e344c509fda6dc8399035a9e","2021-04-30 10:07:11","2021-04-30 10:07:36",0,"player39"
"14",14,14,"97a7b86a6e2ce639fb6d0a188d5b7683","2021-04-30 10:09:44",NA,0,"player44"
"15",15,15,"47d0ab38c5b8acbd25f5525016587263","2021-04-30 10:10:00","2021-04-30 10:10:07",1,"player72"
"16",16,16,"9d865473c5a3c622df5e681985b20033","2021-04-30 11:13:12","2021-04-30 11:16:54",0,"player11"
"17",17,17,"9d865473c5a3c622df5e681985b20033","2021-04-30 11:18:20","2021-04-30 11:26:35",0,"player11"
"18",18,18,"e030b9cc80b74029edfc61137acd50f3","2021-04-30 11:19:59","2021-04-30 11:37:23",0,"player60"
"19",19,19,"9d865473c5a3c622df5e681985b20033","2021-04-30 11:26:50","2021-04-30 11:28:34",0,"player11"
"20",20,20,"6881456f4b8db53e9066234c9f7358bd","2021-04-30 20:23:41",NA,0,"player64"
"21",21,21,"130db50ce9e1e18cea2f61bcda5062fc","2021-04-30 22:11:31",NA,0,"player55"
"22",22,22,"130db50ce9e1e18cea2f61bcda5062fc","2021-04-30 22:11:54",NA,0,"player56"
"23",23,23,"5767d51bef7659f50784e2a588249dee","2021-05-03 14:45:49","2021-05-03 15:02:59",0,"player63"
"24",24,24,"5767d51bef7659f50784e2a588249dee","2021-05-03 15:03:29","2021-05-03 15:04:28",1,"player66"
"25",25,25,"53a0b773674e8de4b371a08026924b6f","2021-05-04 14:30:36",NA,0,"player30"
"26",26,26,"b6a7a30d02d2f8850c1792c85b1489a9","2021-05-06 09:58:35","2021-05-06 09:58:44",0,"player88"
"27",27,27,"b6a7a30d02d2f8850c1792c85b1489a9","2021-05-06 09:58:54",NA,0,"player45"
"28",28,28,"1d13a8f93968e5a363f78ca0efb3a1cd","2021-05-06 10:10:02",NA,0,"player40"
"29",29,29,"90bcd8621ba145f670595b44d826664b","2021-05-06 10:15:51","2021-05-06 10:15:58",1,"player40"
"30",30,30,"90bcd8621ba145f670595b44d826664b","2021-05-06 10:16:08",NA,0,"player40"
"31",31,31,"4342d963cc05d893708473b8050fb99f","2021-05-06 10:18:15",NA,0,"player87"
"32",32,32,"38cd383f11b7a8d7e5fb52bd02e06a12","2021-05-06 11:11:49","2021-05-06 11:12:06",1,"player67"
"33",33,33,"da675dbbbbc0c4f96aa9eb9d6dc0156a","2021-05-06 11:11:57","2021-05-06 11:12:03",1,"player11"
"34",34,34,"da675dbbbbc0c4f96aa9eb9d6dc0156a","2021-05-06 11:12:14",NA,0,"player11"
"35",35,35,"38cd383f11b7a8d7e5fb52bd02e06a12","2021-05-06 11:12:26",NA,0,"player67"
"36",36,36,"885f17739241e2aa79b86369a81a61ee","2021-05-06 13:51:59",NA,0,"player40"
"37",37,37,"bd915c44677590685103c55bce33eddc","2021-05-06 13:52:11","2021-05-06 13:53:38",0,"player41"
"45",45,45,"ea37ec650738e31faf235ae692d2a7b1","2021-05-06 16:42:42","2021-05-06 16:45:24",1,"player35"
"46",46,46,"a5c45436d406148a284796d7e9d202d6","2021-05-06 16:48:35","2021-05-06 16:54:12",0,"player13"
"47",47,47,"aded673799a18c30dded5ab0b16ead0d","2021-05-06 17:21:08",NA,0,"player51"
"48",48,48,"777be99c885270c74573c7592bcc2923","2021-05-07 09:26:35",NA,0,"player37"
"49",49,49,"112b47a9c5e488c956cb9443d915926b","2021-05-07 10:57:13","2021-05-07 11:03:49",0,"player2"
"50",50,50,"112b47a9c5e488c956cb9443d915926b","2021-05-07 11:04:38","2021-05-07 11:17:52",0,"player2"
"51",51,51,"112b47a9c5e488c956cb9443d915926b","2021-05-07 11:20:57","2021-05-07 11:37:29",0,"player2"
"52",52,52,"3db3df2e8c9c3ca1eb5ffdd7fece761b","2021-05-07 13:39:39",NA,0,"player84"
"53",53,53,"7f5d7e47482055a69580dc6560b66b79","2021-05-07 13:59:51",NA,0,"player84"
"56",56,56,"047a6365464041f7b2967629a3241640","2021-05-10 07:59:14","2021-05-10 08:09:56",1,"player59"
"59",59,59,"ba025702d9604dc5b527686e27227ccd","2021-05-10 21:04:04",NA,0,"player35"
"60",60,60,"e2d259f8a94a730e3f66749bb32d8131","2021-05-10 21:08:39","2021-05-10 21:18:45",0,"player34"
"61",61,61,"e2d259f8a94a730e3f66749bb32d8131","2021-05-10 21:19:00",NA,0,"player34"
"63",63,63,"383096dcc35fa89c4a5a5ae70f529752","2021-05-11 12:19:48",NA,0,"player81"
"65",65,65,"f4d8b8abaa3cc822a876a8923c188cfb","2021-05-14 14:30:16","2021-05-14 14:33:53",1,"player68"
"66",66,66,"f4d8b8abaa3cc822a876a8923c188cfb","2021-05-14 14:34:10","2021-05-14 14:43:51",1,"player68"
"67",67,67,"f4d8b8abaa3cc822a876a8923c188cfb","2021-05-14 15:09:55","2021-05-14 15:10:02",1,"player68"
"68",68,68,"7549438ad2e713fe525e3aa8bda769fc","2021-05-14 15:10:10",NA,0,"player15"
"69",69,69,"f4d8b8abaa3cc822a876a8923c188cfb","2021-05-14 15:10:19",NA,0,"player68"
"70",70,70,"de6d42726d2a50ab82f11f6a9e268786","2021-05-16 11:06:33",NA,0,"player16"
"72",72,72,"d81411455ab2bee2c352e261cfb06287","2021-05-20 10:53:12",NA,0,"player49"
"73",73,73,"39d2f08cd1bc4ac6bfe65a1dbcbccc2c","2021-05-20 12:34:56","2021-05-20 12:35:05",1,"player42"
"74",74,74,"80b7fc4bd94ea4255c65d031a0fe9fe6","2021-05-20 14:55:34",NA,0,"player42"
"75",75,75,"004eca7632778a992f707c7c336d3ce8","2021-05-20 15:00:03",NA,0,"player42"
"79",79,79,"64e0b5ed4a34f8681426992faebd86df","2021-06-01 10:01:36","2021-06-01 10:15:19",0,"player23"
"81",81,81,"ed7298a2979a39883c498edf675617d7","2021-06-02 09:51:34",NA,0,"player70"
"87",87,87,"1f0113de9c16a40c0bae55f1e5b75c6a","2021-06-29 16:54:19","2021-06-29 16:55:15",1,"player44"
"94",94,94,"c85fc36c40804806d71e74e9cac33ad1","2021-07-07 16:58:22","2021-07-07 16:59:44",0,"player83"
"97",97,97,"d9becc86d9319597962ba84af89bef55","2021-07-09 17:56:12","2021-07-09 17:56:20",1,"player29"
"98",98,98,"d9becc86d9319597962ba84af89bef55","2021-07-09 17:56:37","2021-07-09 17:58:04",0,"player80"
"99",99,99,"6fb4e0f161f0e6780d056027893da081","2021-07-09 18:24:30","2021-07-09 18:25:14",0,"player85"
"102",102,102,"5832c5ba0ead52e217b86a189ce25f9d","2021-07-09 18:43:32","2021-07-09 18:45:51",0,"player11"
"103",103,103,"bcc94aa572d57564216897b3a6405931","2021-07-09 19:08:19","2021-07-09 19:09:53",0,"player11"
"104",104,104,"fe3897128a6a43390830eb2ce1d64438","2021-07-09 19:36:56",NA,0,"player61"
"105",105,105,"56dec56afdba9390a1cd3fd95f6d2fb0","2021-07-09 19:38:42","2021-07-09 19:41:26",0,"player61"
"107",107,107,"fb611bf5954776881fa5cdb8ca55e0b9","2021-07-12 12:09:52","2021-07-12 12:10:49",0,"player22"
"108",108,108,"a23cdde9ec688f8dfda36f1491f1819e","2021-07-12 14:53:39","2021-07-12 14:54:05",1,"player11"
"109",109,109,"cc1e9955055896b3dfc87b894c745893","2021-07-12 14:54:22","2021-07-12 14:55:20",0,"player11"
"110",110,110,"cc1e9955055896b3dfc87b894c745893","2021-07-12 14:55:33","2021-07-12 14:56:16",0,"player11"
"111",111,111,"cc1e9955055896b3dfc87b894c745893","2021-07-12 14:56:31","2021-07-12 14:57:33",0,"player11"
"112",112,112,"b22bd9e8fa01eac988e90c5052529e15","2021-07-12 15:33:31",NA,0,"player37"
"113",113,113,"ef954b6b6c171eced73a9ce0f7b7e255","2021-07-12 15:58:50","2021-07-12 15:59:39",0,"player37"
"114",114,114,"ef954b6b6c171eced73a9ce0f7b7e255","2021-07-12 15:59:55","2021-07-12 16:00:28",0,"player37"
"117",117,117,"c9e30581b87ac0c5c5496ce3099dac85","2021-07-12 16:07:56","2021-07-12 16:08:30",0,"player43"
"118",118,118,"4c63916c9df33d08b029c134fc346d26","2021-07-12 16:13:12","2021-07-12 16:14:07",0,"player37"
"120",120,120,"6ae33d0c18c5ab780a093c2371dbca80","2021-07-13 16:14:58","2021-07-13 16:15:29",1,"player37"
"125",125,125,"8da90872da410cb669b0fa95340dcc93","2021-07-13 17:09:53",NA,0,"player73"
"133",133,133,"ef8d7529ea30381feb4e78bfd8825672","2021-07-14 11:05:12","2021-07-14 11:12:29",0,"player31"
